settlement_id,order_id,payment_id,gross_amount,mdr_amount,gst_on_mdr,net_amount,settlement_date,utr
setl_lg8y2wgebec41r,order_hfrrcv1exyb8z8,pay_trtm477y6zled1,17109.4,342.19,61.59,16705.62,2026-07-20,NEFTIDFB080726280XKXWD8
setl_2e1baku4nc0iba,order_e00hu3x5u7df89,pay_1qcg41rk4mkzom,40391.16,807.82,145.41,39437.93,2026-07-11,SBIN110726137565896
setl_dz8xebnp5o3xt0,order_vm3i0gxhc660uj,pay_rihz8eekc8u091,43136.1,948.99,170.82,42016.29,2026-07-28,IDFB280726546199240
setl_c781hfl1zopqzf,order_rw6owh8vlig7r2,pay_fmfp5md3exu7fk,18475.96,369.52,66.51,18039.93,2026-07-29,SBIN290726066154980
setl_ozfqpii49h5vn2,order_00zcmhfmtgdlb3,pay_j56tamy74wxuwc,43194.27,755.9,136.06,42302.31,2026-08-03,IDFB030826618518626
setl_jl2fx35lg49ffq,order_utvlyjmwuocs22,pay_4eqkq7mou3dn1t,17942.34,358.85,64.59,17518.9,2026-07-25,BARB250726008248458
setl_ttimlytgvkymzl,order_d3iia38k0hf36c,pay_0ox87czr7xwqf1,18362.7,367.25,66.11,17929.34,2026-07-23,YESB230726917105080
setl_u536lzms804bfp,order_yettruti7zfzto,pay_s6gkj71k16y0up,26333.74,395.01,71.1,25867.63,2026-08-03,SBIN030826488397170
setl_4tp1na6ksnjczo,order_wt994pn8qix43i,pay_rgm5dkoybesirq,1718.04,25.77,4.64,1687.63,2026-07-27,IDFB270726535846405
setl_0r095uhgcrkfkj,order_w0mqa1ccyy4juf,pay_n24xcrwdwf1tqv,40069.81,701.22,126.22,39242.37,2026-07-13,UTIB130726118900346
setl_25ju26sphncasl,order_ieoxvku8yjmyvm,pay_nedyl7u4gp59z0,11757.98,205.76,37.04,11515.18,2026-07-22,PUNB220726191907499
setl_yfeiq7ka8obm5r,order_faw2xch1joqnuv,pay_k6jopzdtjxaf16,31043.9,543.27,97.79,30402.84,2026-07-22,AXIS220726536423570
setl_jk31dzrhttqayi,order_9dssrkfi53llp0,pay_nfdd2pj0mmug8x,10256.83,205.14,36.93,10014.76,2026-07-24,PUNB240726218849680
setl_2ympyi46n05fl0,order_2tyznm5saxyk2e,pay_58f3ob9v1t4jxa,37767.02,755.34,135.96,36875.72,2026-08-03,SBIN030826610703350
setl_4z7ht7ryme6psr,order_15kck4zynfgj1y,pay_ofqt49qpeq6yf8,2487.5,37.31,6.72,2443.47,2026-08-02,KKBK020826886932055
setl_xk13c3zqx3qfxm,order_2pitt8bo7jfm03,pay_tdv0iqf1g5fu3h,9362.59,205.98,37.08,9119.53,2026-07-09,NEFTIDFB080726280XKXWD8
setl_h1dxkxb4rvwjve,order_rf4won6fawe3ia,pay_vx56lecfdmilad,31205.22,624.1,112.34,30468.78,2026-08-04,SBIN040826218834581
setl_jd3x4yh5hoa7wk,order_kqdvnab87frboo,pay_703b95ohs7auig,4327.93,95.21,17.14,4215.58,2026-07-17,SBIN170726316544137
setl_6viarph3q26te0,order_nkys30u7frzud1,pay_lbq4ua9n1pmbzp,19015.24,418.34,75.3,18521.6,2026-08-06,BARB060826419087886
setl_bx54qotvog5kks,order_ymxu16bn45u0f4,pay_slhqbr79okqbbw,33889.13,508.34,91.5,33289.29,2026-07-29,HDFC290726728895927
setl_05oszqg6pkisb8,order_ebjvnfowapcq7v,pay_g6n968xf6v8th1,36365.45,636.4,114.55,35614.5,2026-07-11,YESB110726398391226
setl_5vcmgjvc2smtc0,order_4kv2ra0t51lc8a,pay_4oc1cqb7u2mrix,4430.31,97.47,17.54,4315.3,2026-07-16,KKBK160726965391607
setl_5dwjate4vv9c0x,order_eoizu7n9en0ker,pay_tqhnol3obopab0,6570.83,114.99,20.7,6435.14,2026-07-08,BARB080726452375979
setl_h4fzzhyh9ojgue,order_pnei5zrwuo8nq1,pay_89y42dj43dgamr,10917.28,191.05,34.39,10691.84,2026-08-03,UTIB030826769924277
setl_neftz53c5dwumj,order_9zurutk92j6sb0,pay_53akzxfp5ke09j,333.16,5.0,0.9,327.26,2026-07-13,IDFB130726622398474
setl_ur4mfjhojalbh1,order_obw3j6sog2lbwt,pay_bv50hya1w3rr43,17087.19,375.92,67.67,16643.6,2026-07-17,PUNB170726095739405
setl_jsos58yofvyg72,order_uzc2plhs95twbq,pay_hsmcrcun91wg3h,27177.83,543.56,97.84,26536.43,2026-07-31,ICIC310726881298861
setl_u2aqhknqjge0ut,order_nzf6yxis81hbud,pay_u7xx9igd40cm0t,29316.03,644.95,116.09,28554.99,2026-07-16,BARB160726161705022
setl_kukpxpsbtnbdzr,order_5ofttuk18c7j0z,pay_nruhmezvsq3hey,11057.91,221.16,39.81,10796.94,2026-07-14,BARB140726151143678
setl_c6odr9hounkp9j,order_i1wr63juwmw3m4,pay_dy99o3ucr68nix,34446.08,757.81,136.41,33551.86,2026-07-31,YESB310726353896298
setl_6do9uzxca4x76b,order_1iv0b1hi8h7pr2,pay_8j2k3tydccpvb9,23904.21,525.89,94.66,23283.66,2026-08-04,UTIB040826168019903
setl_85j2s2da89otcj,order_mxon2kf9q0qoex,pay_oanaabk97ei9nx,43744.02,656.16,118.11,42969.75,2026-07-23,SBIN230726820762381
setl_g23tyifjhs1jqe,order_piqjpbofo7puk6,pay_cmwsh0wfwojq44,5110.9,102.22,18.4,4990.28,2026-07-26,NEFTAXIS080726YIHAIR4CO
setl_wypn3whifyemf5,order_yzdcqr8zmmxx1c,pay_aut3xrbx2wfiyo,17128.0,342.56,61.66,16723.78,2026-07-28,PUNB280726563711429
setl_pace2f346zssjn,order_hxtdqy89fiq0fc,pay_uzlzoo0ahwy423,11502.76,201.3,36.23,11265.23,2026-07-14,AXIS140726679608289
setl_a2mf3g1puxjcn0,order_vppfnniix1sknx,pay_d6zmbytjptvh31,2896.17,57.92,10.43,2827.82,2026-07-12,PUNB120726546130873
setl_ea3y0xaobk02lv,order_qdji6sow4yif5d,pay_9rexpfsltj669r,25242.6,504.85,90.87,24646.88,2026-07-16,AXIS160726271630335
setl_8mo2tpx4lpcx1a,order_emrqp94na46n0a,pay_bcz7ep62ltgc3v,27215.59,544.31,97.98,26573.3,2026-07-16,BARB160726287875703
setl_5fqjyyiir41g20,order_zq6rf8lw7y8aub,pay_pm9dbeza9agulm,4660.58,81.56,14.68,4564.34,2026-07-15,YESB150726904265274
setl_ydbsiwfviuclhq,order_xi5n6dbxf9rexl,pay_oyeyqe6836hfep,35043.93,525.66,94.62,34423.65,2026-08-01,HDFC010826529877074
setl_fy71knckonrhhk,order_riqye1sofpvoeo,pay_37phanhdt4rk9f,30646.96,459.7,82.75,30104.51,2026-08-02,IDFB020826614215248
setl_t3f49hwfl8mpj4,order_eh9h72iq4lu1by,pay_4iyv0n1smp85y7,31570.29,552.48,99.45,30918.36,2026-07-18,PUNB180726147621236
setl_pg0jg3ytiihn70,order_b8innu7pggminu,pay_dc32gy422kkwfa,17249.01,344.98,62.1,16841.93,2026-07-21,NEFTAXIS080726YIHAIR4CO
setl_bhlf80hkkwjsv0,order_1oubnlma4ac1pu,pay_vd3xak74f5zqs1,32385.08,566.74,102.01,31716.33,2026-07-11,PUNB110726123357617
setl_nbrqit4j0sgq53,order_0znmvnswjfii0u,pay_gpkakritgfjmhd,269.42,5.39,0.97,263.06,2026-07-27,KKBK270726410238735
setl_7damixw78meewb,order_a6540wfj2etpse,pay_ywr7oxnw28bgju,9175.47,160.57,28.9,8986.0,2026-07-27,NEFTAXIS080726YIHAIR4CO
setl_fswjz8dyzksy9f,order_6sp0y3rora8k2h,pay_90u3rfiwcr6yzv,20052.76,300.79,54.14,19697.83,2026-07-21,NEFTBARB080726GZRIXA11D
setl_wl9pqrmou803jw,order_uyk2vfhd7wg11s,pay_xxrppnl6rnkwxz,40407.13,888.96,160.01,39358.16,2026-07-20,AXIS200726415359771
setl_zsaz46abqz21pn,order_ceth28imdgajbq,pay_4fw9ioyir1up3c,36647.1,806.24,145.12,35695.74,2026-08-03,HDFC030826825263794
setl_woe58oagp01tsn,order_2u8z1xie39zvye,pay_c5udotuqajeliv,12544.05,188.16,33.87,12322.02,2026-07-12,BARB120726335838439
setl_hu3fiqg01pyd81,order_1uvjytmp4nvv78,pay_zoheotb1ppqvq1,44477.77,667.17,120.09,43690.51,2026-07-12,PUNB120726962206824
setl_8fitozabdjqvio,order_wxzb5oeqxadgyu,pay_jgb5or6m072hun,3535.16,70.7,12.73,3451.73,2026-07-24,ICIC240726970150196
setl_y6rr79iv2f1fk0,order_1gglcr5p8aacj7,pay_2hls0qlfti211w,10747.05,214.94,38.69,10493.42,2026-07-18,NEFTBARB080726GZRIXA11D
setl_040vrssdvb26xn,order_ie5apcbflun3yp,pay_q5lyyp6s0vdck1,11051.82,165.78,29.84,10856.2,2026-07-21,PUNB210726785185690
setl_i8bnq49dmxs03d,order_lwwiayzd9uxlj1,pay_fwyms2fmqloaeb,23318.74,408.08,73.45,22837.21,2026-08-01,PUNB010826051666081
setl_olodlonkcp8ov5,order_a7idi09kgw8c4a,pay_g1qicxbr8iybat,17128.91,342.58,61.66,16724.67,2026-07-24,KKBK240726817036100
setl_ayuf1tk83w1y6z,order_ne4xlwg9ay22d1,pay_b3po4qu280wc84,25296.6,556.53,100.18,24639.89,2026-07-23,SBIN230726331044817
setl_f8w9usi652bqzs,order_jqycrho7azp8ox,pay_5df8k4hbaboi0s,3882.62,85.42,15.38,3781.82,2026-07-15,UTIB150726548522072
setl_4l6g9h8lyk0vgl,order_d613ly4qztgbcq,pay_taij82t2a1q4p2,35736.31,786.2,141.52,34808.59,2026-07-22,YESB220726779911379
setl_lfiyz3kqjyg8ir,order_5y4lawrtnfgzsk,pay_iguvetybgd9e32,3506.42,77.14,13.89,3415.39,2026-08-02,BARB020826509355557
setl_w79gqqqjr6jp3z,order_cgfx30ac9pubko,pay_psl0jo4pyap3jf,12375.42,247.51,44.55,12083.36,2026-07-23,IDFB230726706129889
setl_jwsh3mokbmjluu,order_q2wipp101yqt06,pay_1atm13qvbnk0sc,19737.33,345.4,62.17,19329.76,2026-07-16,YESB160726352791111
setl_ssnml4c7f4ygf7,order_36z6coxkq5p52d,pay_whzr4ur1boczkw,41181.93,906.0,163.08,40112.85,2026-07-21,BARB210726059469984
setl_3hk3lqexrsq97n,order_bowvhd7b4isyi8,pay_r5ntipwl51ctae,19502.48,390.05,70.21,19042.22,2026-07-22,BARB220726457595995
setl_uw52rb3bihf19j,order_g3duvschl80zd8,pay_ip5obk7596d4ht,35985.73,719.71,129.55,35136.47,2026-07-21,HDFC210726714876507
setl_iq93h5ywl94mop,order_z6ctel745csf0a,pay_lmwnmj0sisj424,547.67,8.22,1.48,537.97,2026-08-04,ICIC040826196227238
setl_rzrky8raquefim,order_rueoc7jnx894i1,pay_q2g15r83y7418g,4402.08,66.03,11.89,4324.16,2026-08-01,PUNB010826082267990
setl_1ye8una9wk4mk3,order_fh7b0ahi1ywt3h,pay_ko1cmrt7jhdszw,6611.96,132.24,23.8,6455.92,2026-07-23,PUNB230726379264053
setl_16ze7blp7dgt60,order_22wahdo61xn8dk,pay_13zp84jrh8iptc,19998.04,349.97,62.99,19585.08,2026-07-22,KKBK220726345096859
setl_zx79v37prddtbx,order_km8b543bb9h5c7,pay_rsmfqtndy69620,24460.6,366.91,66.04,24027.65,2026-07-29,SBIN290726399330255
setl_nol8wkff0zadf5,order_zffghf3obs0swv,pay_5qd8c1am0ihdzs,12298.41,245.97,44.27,12008.17,2026-08-05,AXIS050826141408783
setl_vjb5aqy9055s2u,order_3zw0sd7sbz75eu,pay_fvhp7srk58hegi,14037.98,308.84,55.59,13673.55,2026-07-31,IDFB310726407036665
setl_obgggkycsnu966,order_d5so2n333za49x,pay_ud9rt7nwuqiq9v,27977.18,615.5,110.79,27250.89,2026-07-11,YESB110726579327701
setl_y1yogq04qpqrw6,order_prtyveksvquqs9,pay_5adj6qxj8thm86,24447.56,366.71,66.01,24014.84,2026-08-07,SBIN070826923613912
setl_qpts0mmbbsu04w,order_p3v5vs0jzwlsd4,pay_tr4gse74v5dm5n,38046.73,760.93,136.97,37148.83,2026-07-31,PUNB310726761504884
setl_cthk8qd11pi552,order_9bn1hcd4gfkbzy,pay_0z7prb6x6tws79,33300.8,582.76,104.9,32613.14,2026-07-17,PUNB170726124266474
setl_vmeagwp82h6sgl,order_zh4yybkhtab92w,pay_c3bnecjq427u1n,39050.5,859.11,154.64,38036.75,2026-07-23,YESB230726130610922
setl_krszjknz2k9mf0,order_x4ntqvnmd8iyub,pay_z9yz6v1vtixrh6,25756.38,515.13,92.72,25148.53,2026-07-22,HDFC220726765094620
setl_aixy3p4xblrx02,order_ni4gybvjtrregf,pay_vxh0ei92ehpqp6,25380.09,558.36,100.5,24721.23,2026-07-17,AXIS170726124345353
setl_youge4of633bq6,order_z5tpwy0tuzg2vg,pay_35xdku6jedad38,6973.78,139.48,25.11,6809.19,2026-07-30,KKBK300726698886659
setl_blckuhyd07dvrm,order_uxv2o2qszo1i73,pay_6mv3t0kg6umh4g,30312.72,666.88,120.04,29525.8,2026-07-15,UTIB150726590504173
setl_lxzb63v1vqylbo,order_l0os3x23ietyr9,pay_x20bw2mrllgu1t,23317.81,512.99,92.34,22712.48,2026-08-05,IDFB050826020715378
setl_ywzl0ozt4lh19l,order_xaad0xh2mecyjx,pay_p7x80nhje1e3dy,43709.5,961.61,173.09,42574.8,2026-07-24,SBIN240726950814994
setl_26r2gwlj6iw5g2,order_1jb0oxdfns88m7,pay_z2tvb1kwvg8sze,32238.0,564.17,101.55,31572.28,2026-07-27,UTIB270726921510026
setl_rcfu5d0mysf699,order_p6u5ps4768tqw8,pay_do3px9kdqiut6h,19818.51,297.28,53.51,19467.72,2026-07-16,IDFB160726040793651
setl_pllgrcutreurfm,order_lt4u6o3lpo7381,pay_onrpoj9bmay74f,33356.97,583.75,105.08,32668.14,2026-07-13,HDFC130726618506929
setl_v7u2aja7hawqdu,order_nlydjixl7vsky6,pay_c5tg8bka8v0igb,10717.09,214.34,38.58,10464.17,2026-07-30,AXIS300726277376554
setl_af8edjm7w4hxio,order_913sd09oym3mul,pay_ob777ih0fuojjf,2171.56,32.57,5.86,2133.13,2026-07-17,SBIN170726643029708
setl_a4ixqwouyaadu9,order_nd1gafunh7i3wy,pay_ykatcrgevpg4gm,33728.32,742.02,133.56,32852.74,2026-07-20,YESB200726324483438
setl_d62jc0vlky7txe,order_a64tcwbbkocyw3,pay_4rcdbot74u6u8w,2950.47,44.26,7.97,2898.24,2026-07-11,KKBK110726567677619
setl_k80ty97l09w7wa,order_nx3m4clen7ct4r,pay_u76b83uj09asfo,19019.22,418.42,75.32,18525.48,2026-07-11,HDFC110726696374912
setl_rlgfr16wu19lf2,order_18l30pyn1qi5j3,pay_2m7fcgl3tkqvxc,17973.77,359.48,64.71,17549.58,2026-07-29,BARB290726990203854
setl_8n0wczvl3xkkjl,order_igkplrggbi28sh,pay_qengj9u6v6z8kv,10835.81,162.54,29.26,10644.01,2026-07-08,KKBK080726152428678
setl_0lyimoes1ai9a4,order_gomqxmqo0fvlc2,pay_54zh0qa1lszkzn,38584.1,771.68,138.9,37673.52,2026-07-24,UTIB240726218531112
setl_o0a89jptt0ix1s,order_phfaxi1s9npaxu,pay_zmxl244vrbj3hi,22692.22,340.38,61.27,22290.57,2026-07-09,SBIN090726531292662
setl_ubes81de0rii5c,order_xgl1qgouo8zd0l,pay_q1mz9k33t9lzx8,20778.62,415.57,74.8,20288.25,2026-07-31,UTIB310726705068098
setl_98snlc1tlw78f6,order_8f1ih6lb3k5ruw,pay_p9jxi9b7c8do1p,15936.99,239.05,43.03,15654.91,2026-07-28,HDFC280726848610660
setl_ck5qdadapvsf4e,order_kqyuyqrjzbzmt6,pay_y6tl71r2vo8phn,24076.51,481.53,86.68,23508.3,2026-07-08,KKBK080726393516026
setl_qhj9zu0f5e47rh,order_jz4jka0j2nbi5e,pay_0l1q9rvsf0s60k,18585.49,371.71,66.91,18146.87,2026-07-16,IDFB160726587837105
setl_3mxywrye7pdjnl,order_7lofolangxcd28,pay_5q8cvrsvh4g2j5,42242.1,929.33,167.28,41145.49,2026-08-01,YESB010826322247081
setl_f874esdqc9pun6,order_awnwgxv38pfitc,pay_gm6eh0z98wqu08,6138.35,135.04,24.31,5979.0,2026-07-29,BARB290726447353414
setl_xryx5zvomxw3hb,order_djsoocgdrvd511,pay_uodzy2xazwmz6j,44735.74,671.04,120.79,43943.91,2026-07-22,ICIC220726972512343
setl_fhn5ylra9pay1t,order_hesh3pfi14kmry,pay_09sgwn0modp9nu,39159.14,685.28,123.35,38350.51,2026-07-27,AXIS270726352878971
setl_9gi7611mh5hzwr,order_lr5t9egvxbcvlm,pay_eilnb0cikgo40q,41981.7,629.73,113.35,41238.62,2026-07-26,UTIB260726282196087
setl_nse13dww8dxajx,order_y2twscw63tfms1,pay_2wbake2dcq81ue,16129.78,241.95,43.55,15844.28,2026-07-09,KKBK090726584089227
setl_fraotwsj57zpqf,order_lj1j2pemklmdh3,pay_pfdt75mcayje8n,8588.41,171.77,30.92,8385.72,2026-07-09,SBIN090726937813267
setl_heqy8lbkyyt86r,order_v8ab40oobagxkk,pay_36qsttgiqt67f2,39767.57,795.35,143.16,38829.06,2026-07-15,ICIC150726886459478
setl_qnh5eyqt4xs3df,order_8pcyhc065ju7yo,pay_l6lbm0aj6x27o6,42197.92,843.96,151.91,41202.05,2026-07-29,NEFTUTIB080726H2ZQU7EEQ
setl_8jg2rzghxirj6d,order_o2de83quv5f3fi,pay_clreay3sm1ppyz,40330.72,705.79,127.04,39497.89,2026-07-08,BARB080726420793741
setl_rwho3u56k7sbfd,order_o6c6zh6du9zz99,pay_vmhvr04jcrw9a8,8335.66,166.71,30.01,8138.94,2026-07-22,KKBK220726246847325
setl_5jo52f0u4suxri,order_5425wj0y17vz2q,pay_z9d46kt79aaxn4,17968.78,395.31,71.16,17502.31,2026-07-21,KKBK210726973780534
setl_k6bcdfqvdpmm9x,order_rbsh103uf8ri3p,pay_4g2wdazyw6weyu,1383.13,24.2,4.36,1354.57,2026-08-03,AXIS030826905966694
setl_j719vp4js6nlm4,order_mz43d3zb28mcli,pay_ce7w683o3fo22z,7735.97,154.72,27.85,7553.4,2026-07-20,KKBK200726069486175
setl_fljbt8awap2qh8,order_inmm5depnczfu5,pay_8to5g4b2i5sgfc,29277.59,644.11,115.94,28517.54,2026-08-06,ICIC060826834100066
setl_xrjal1tpnsq3xn,order_96nix9twu52iyb,pay_hk3h3ys1duafa0,33259.26,731.7,131.71,32395.85,2026-07-18,IDFB180726896636805
setl_uys9w24xvofxjx,order_slpwlm4fm2oggv,pay_9f9pwbxd9jifz7,33322.89,583.15,104.97,32634.77,2026-07-26,UTIB260726610356574
setl_n8x9ihjc5ysa4h,order_wfucweeemmv8b7,pay_1kvaxqud130iym,42308.54,740.4,133.27,41434.87,2026-07-26,YESB260726943578459
setl_ldtmxebgxpeamd,order_32vuxly81xgjhk,pay_88zfr7cm4iwtaq,12610.36,252.21,45.4,12312.75,2026-07-21,UTIB210726196676015
setl_c9f2tbw4pyx3s6,order_53cd0znuajpbpk,pay_vcm2cd1w6rud5w,37491.85,749.84,134.97,36607.04,2026-08-04,ICIC040826666117729
setl_195o3q041r1jke,order_357p714tzp0d99,pay_vrs5y4ig7t92zx,28237.92,621.23,111.82,27504.87,2026-07-12,SBIN120726208346442
setl_a06y5miha8zplc,order_tahqbbu55dva51,pay_nn5io7r6fwkbz8,14157.07,283.14,50.97,13822.96,2026-07-20,ICIC200726730515133
setl_186t2pxm8ec4nn,order_xcjdp9t6m7rjbn,pay_9qb1jfegh1vowd,32480.24,714.57,128.62,31637.05,2026-07-20,KKBK200726785625084
setl_nps862jcyb8eko,order_3lm75q7gx2slgo,pay_r0a5svigetns9d,32244.73,564.28,101.57,31578.88,2026-07-21,ICIC210726734608736
setl_56gw9bejam4rce,order_8o7ii03od4jhrr,pay_rsuyjmic97szpl,21650.59,378.89,68.2,21203.5,2026-07-27,YESB270726988161037
setl_3bvmy7twy6h7tn,order_59pcyd2kirrnrn,pay_uyhe8jvrqvqlq9,26522.05,583.49,105.03,25833.53,2026-07-26,KKBK260726136674886
setl_ywnfj9n6npc32h,order_il7w6atjlono3y,pay_gu3zn0kaclw795,34205.03,684.1,123.14,33397.79,2026-07-31,UTIB310726726440198
setl_twyeg11rgyx0ww,order_bm96bo6659haoj,pay_trrwbk232arwuc,41762.35,918.77,165.38,40678.2,2026-07-20,NEFTUTIB080726H2ZQU7EEQ
setl_lpnuuzz3h3nn6b,order_96em7r3qcqaoox,pay_j93dri54pugq9m,32672.71,571.77,102.92,31998.02,2026-07-29,IDFB290726014095071
setl_6adqc59z6nsm3v,order_x53lrzmo3dxudx,pay_k15ux5w3sx7lju,37512.95,562.69,101.28,36848.98,2026-07-29,IDFB290726447940803
setl_h4jgw9krbe6eyo,order_m2c6kh1xllf6em,pay_3znwsztpvadzue,29341.81,513.48,92.43,28735.9,2026-07-17,KKBK170726609577248
setl_gi0juggns8gm4c,order_l4kfw21kmn17pl,pay_u4xodbsqh2ziul,4707.85,103.57,18.64,4585.64,2026-07-13,IDFB130726435149286
